"Age";"Ethnicity";"Rate"
0;"WBI";0
1;"WBI";0
2;"WBI";0
3;"WBI";0
4;"WBI";0
5;"WBI";0
6;"WBI";0
7;"WBI";0
8;"WBI";0
9;"WBI";0
10;"WBI";1.11e-05
11;"WBI";0.000101105
12;"WBI";0.000679364
13;"WBI";0.00156455
14;"WBI";0.003154169
15;"WBI";0.005686387
16;"WBI";0.009322147
17;"WBI";0.014087292
18;"WBI";0.020845381
19;"WBI";0.028540567
20;"WBI";0.036757442
21;"WBI";0.045019034
22;"WBI";0.051852756
23;"WBI";0.058488029
24;"WBI";0.063789078
25;"WBI";0.067576041
26;"WBI";0.069798874
27;"WBI";0.069646469
28;"WBI";0.070586373
29;"WBI";0.070206113
30;"WBI";0.068735989
31;"WBI";0.066418396
32;"WBI";0.061011877
33;"WBI";0.062459898
34;"WBI";0.063041829
35;"WBI";0.062971694
36;"WBI";0.062433147
37;"WBI";0.054485899
38;"WBI";0.051205719
39;"WBI";0.048007312
40;"WBI";0.044975593
41;"WBI";0.042165582
42;"WBI";0.035581613
43;"WBI";0.029866835
44;"WBI";0.024946844
45;"WBI";0.020741816
46;"WBI";0.018708942
47;"WBI";0.015449643
48;"WBI";0.012709362
49;"WBI";0.010290345
50;"WBI";0
51;"WBI";0
52;"WBI";0
53;"WBI";0
54;"WBI";0
55;"WBI";0
56;"WBI";0
57;"WBI";0
58;"WBI";0
59;"WBI";0
60;"WBI";0
61;"WBI";0
62;"WBI";0
63;"WBI";0
64;"WBI";0
65;"WBI";0
66;"WBI";0
67;"WBI";0
68;"WBI";0
69;"WBI";0
70;"WBI";0
71;"WBI";0
72;"WBI";0
73;"WBI";0
74;"WBI";0
75;"WBI";0
76;"WBI";0
77;"WBI";0
78;"WBI";0
79;"WBI";0
80;"WBI";0
81;"WBI";0
82;"WBI";0
83;"WBI";0
84;"WBI";0
85;"WBI";0
0;"WHO";0
1;"WHO";0
2;"WHO";0
3;"WHO";0
4;"WHO";0
5;"WHO";0
6;"WHO";0
7;"WHO";0
8;"WHO";0
9;"WHO";0
10;"WHO";1.25e-05
11;"WHO";0.00011368
12;"WHO";0.000763862
13;"WHO";0.001759144
14;"WHO";0.003546476
15;"WHO";0.006393645
16;"WHO";0.010481611
17;"WHO";0.015839432
18;"WHO";0.023438074
19;"WHO";0.032090368
20;"WHO";0.041329236
21;"WHO";0.050618383
22;"WHO";0.058302065
23;"WHO";0.065762616
24;"WHO";0.071722996
25;"WHO";0.075980971
26;"WHO";0.078480274
27;"WHO";0.078308913
28;"WHO";0.07936572
29;"WHO";0.078938164
30;"WHO";0.07728519
31;"WHO";0.074679341
32;"WHO";0.068600374
33;"WHO";0.070228495
34;"WHO";0.070882806
35;"WHO";0.070803947
36;"WHO";0.070198418
37;"WHO";0.061262711
38;"WHO";0.057574552
39;"WHO";0.053978335
40;"WHO";0.050569538
41;"WHO";0.047410026
42;"WHO";0.040007161
43;"WHO";0.033581594
44;"WHO";0.028049667
45;"WHO";0.023321628
46;"WHO";0.021035911
47;"WHO";0.017371229
48;"WHO";0.014290118
49;"WHO";0.011570231
50;"WHO";0
51;"WHO";0
52;"WHO";0
53;"WHO";0
54;"WHO";0
55;"WHO";0
56;"WHO";0
57;"WHO";0
58;"WHO";0
