"MSOA";"Sex";"Age";"Persons"
"E02000864";"M";0;72
"E02000864";"F";0;57
"E02000864";"M";1;70
"E02000864";"F";1;62
"E02000864";"M";2;61
"E02000864";"F";2;52
"E02000864";"M";3;67
"E02000864";"F";3;79
"E02000864";"M";4;58
"E02000864";"F";4;61
"E02000864";"M";5;59
"E02000864";"F";5;68
"E02000864";"M";6;51
"E02000864";"F";6;58
"E02000864";"M";7;38
"E02000864";"F";7;56
"E02000864";"M";8;43
"E02000864";"F";8;60
"E02000864";"M";9;51
"E02000864";"F";9;56
"E02000864";"M";10;54
"E02000864";"F";10;46
"E02000864";"M";11;45
"E02000864";"F";11;49
"E02000864";"M";12;51
"E02000864";"F";12;42
"E02000864";"M";13;50
"E02000864";"F";13;50
"E02000864";"M";14;37
"E02000864";"F";14;51
"E02000864";"M";15;50
"E02000864";"F";15;33
"E02000864";"M";16;50
"E02000864";"F";16;35
"E02000864";"M";17;67
"E02000864";"F";17;29
"E02000864";"M";18;45
"E02000864";"F";18;53
"E02000864";"M";19;53
"E02000864";"F";19;47
"E02000864";"M";20;74
"E02000864";"F";20;84
"E02000864";"M";21;69
"E02000864";"F";21;98
"E02000864";"M";22;75
"E02000864";"F";22;74
"E02000864";"M";23;84
"E02000864";"F";23;87
"E02000864";"M";24;81
"E02000864";"F";24;113
"E02000864";"M";25;89
"E02000864";"F";25;106
"E02000864";"M";26;102
"E02000864";"F";26;115
"E02000864";"M";27;97
"E02000864";"F";27;114
"E02000864";"M";28;78
"E02000864";"F";28;105
"E02000864";"M";29;106
"E02000864";"F";29;134
"E02000864";"M";30;132
"E02000864";"F";30;113
"E02000864";"M";31;110
"E02000864";"F";31;100
"E02000864";"M";32;76
"E02000864";"F";32;101
"E02000864";"M";33;92
"E02000864";"F";33;78
"E02000864";"M";34;89
"E02000864";"F";34;72
"E02000864";"M";35;60
"E02000864";"F";35;62
"E02000864";"M";36;70
"E02000864";"F";36;60
"E02000864";"M";37;72
"E02000864";"F";37;60
"E02000864";"M";38;47
"E02000864";"F";38;53
"E02000864";"M";39;46
"E02000864";"F";39;50
"E02000864";"M";40;43
"E02000864";"F";40;43
"E02000864";"M";41;51
"E02000864";"F";41;51
"E02000864";"M";42;51
"E02000864";"F";42;61
"E02000864";"M";43;53
"E02000864";"F";43;62
"E02000864";"M";44;56
"E02000864";"F";44;51
"E02000864";"M";45;48
"E02000864";"F";45;50
"E02000864";"M";46;39
"E02000864";"F";46;57
"E02000864";"M";47;46
"E02000864";"F";47;43
"E02000864";"M";48;43
"E02000864";"F";48;40
"E02000864";"M";49;57
"E02000864";"F";49;44
"E02000864";"M";50;32
"E02000864";"F";50;38
"E02000864";"M";51;53
"E02000864";"F";51;49
"E02000864";"M";52;30
"E02000864";"F";52;48
"E02000864";"M";53;29
"E02000864";"F";53;36
"E02000864";"M";54;26
"E02000864";"F";54;44
"E02000864";"M";55;26
"E02000864";"F";55;39
"E02000864";"M";56;26
"E02000864";"F";56;36
"E02000864";"M";57;22
"E02000864";"F";57;31
"E02000864";"M";58;31
"E02000864";"F";58;30
"E02000864";"M";59;26
"E02000864";"F";59;20
"E02000864";"M";60;26
"E02000864";"F";60;32
"E02000864";"M";61;25
"E02000864";"F";61;22
"E02000864";"M";62;29
"E02000864";"F";62;50
"E02000864";"M";63;33
"E02000864";"F";63;13
"E02000864";"M";64;26
"E02000864";"F";64;33
"E02000864";"M";65;23
"E02000864";"F";65;21
"E02000864";"M";66;20
"E02000864";"F";66;22
"E02000864";"M";67;17
"E02000864";"F";67;20
"E02000864";"M";68;18
"E02000864";"F";68;19
"E02000864";"M";69;22
"E02000864";"F";69;18
"E02000864";"M";70;16
"E02000864";"F";70;20
"E02000864";"M";71;19
"E02000864";"F";71;13
"E02000864";"M";72;28
"E02000864";"F";72;22
"E02000864";"M";73;17
"E02000864";"F";73;23
"E02000864";"M";74;15
"E02000864";"F";74;13
"E02000864";"M";75;19
"E02000864";"F";75;15
"E02000864";"M";76;15
"E02000864";"F";76;22
"E02000864";"M";77;19
"E02000864";"F";77;17
"E02000864";"M";78;21
"E02000864";"F";78;18
"E02000864";"M";79;9
"E02000864";"F";79;10
"E02000864";"M";80;19
"E02000864";"F";80;18
"E02000864";"M";81;5
"E02000864";"F";81;32
"E02000864";"M";82;10
"E02000864";"F";82;18
"E02000864";"M";83;9
"E02000864";"F";83;12
"E02000864";"M";84;14
"E02000864";"F";84;17
"E02000864";"M";85;37
"E02000864";"F";85;61
"E02000865";"M";0;34
"E02000865";"F";0;56
"E02000865";"M";1;60
"E02000865";"F";1;47
"E02000865";"M";2;62
"E02000865";"F";2;51
"E02000865";"M";3;53
"E02000865";"F";3;51
"E02000865";"M";4;46
"E02000865";"F";4;35
"E02000865";"M";5;55
"E02000865";"F";5;45
"E02000865";"M";6;48
"E02000865";"F";6;41
"E02000865";"M";7;41
"E02000865";"F";7;50
"E02000865";"M";8;51
"E02000865";"F";8;45
"E02000865";"M";9;47
"E02000865";"F";9;38
"E02000865";"M";10;45
"E02000865";"F";10;47
"E02000865";"M";11;41
"E02000865";"F";11;47
"E02000865";"M";12;44
"E02000865";"F";12;31
"E02000865";"M";13;43
"E02000865";"F";13;42
"E02000865";"M";14;38
"E02000865";"F";14;56
"E02000865";"M";15;47
"E02000865";"F";15;49
"E02000865";"M";16;47
"E02000865";"F";16;44
"E02000865";"M";17;41
"E02000865";"F";17;31
"E02000865";"M";18;30
"E02000865";"F";18;32
"E02000865";"M";19;39
"E02000865";"F";19;44
"E02000865";"M";20;44
"E02000865";"F";20;50
"E02000865";"M";21;46
"E02000865";"F";21;57
"E02000865";"M";22;57
"E02000865";"F";22;86
"E02000865";"M";23;85
"E02000865";"F";23;103
"E02000865";"M";24;96
"E02000865";"F";24;123
"E02000865";"M";25;98
"E02000865";"F";25;116
"E02000865";"M";26;94
"E02000865";"F";26;119
"E02000865";"M";27;89
"E02000865";"F";27;110
"E02000865";"M";28;95
"E02000865";"F";28;122
"E02000865";"M";29;70
"E02000865";"F";29;100
"E02000865";"M";30;96
"E02000865";"F";30;109
"E02000865";"M";31;70
"E02000865";"F";31;90
"E02000865";"M";32;86
"E02000865";"F";32;72
"E02000865";"M";33;78
"E02000865";"F";33;81
"E02000865";"M";34;69
"E02000865";"F";34;63
"E02000865";"M";35;62
"E02000865";"F";35;64
"E02000865";"M";36;62
"E02000865";"F";36;66
"E02000865";"M";37;68
"E02000865";"F";37;50
"E02000865";"M";38;62
"E02000865";"F";38;45
"E02000865";"M";39;62
"E02000865";"F";39;57
"E02000865";"M";40;63
"E02000865";"F";40;45
"E02000865";"M";41;60
"E02000865";"F";41;28
"E02000865";"M";42;39
"E02000865";"F";42;40
"E02000865";"M";43;49
"E02000865";"F";43;33
"E02000865";"M";44;40
"E02000865";"F";44;29
"E02000865";"M";45;30
"E02000865";"F";45;34
"E02000865";"M";46;46
"E02000865";"F";46;29
"E02000865";"M";47;41
"E02000865";"F";47;38
"E02000865";"M";48;52
"E02000865";"F";48;38
"E02000865";"M";49;36
