"MSOA","Type","CentHeat","Tenure","Count"
"E02000864",2,FALSE,2,1
"E02000864",2,FALSE,3,0
"E02000864",2,FALSE,5,0
"E02000864",2,FALSE,6,0
"E02000864",2,TRUE,2,4
"E02000864",2,TRUE,3,4
"E02000864",2,TRUE,5,56
"E02000864",2,TRUE,6,12
"E02000864",3,FALSE,2,0
"E02000864",3,FALSE,3,0
"E02000864",3,FALSE,5,0
"E02000864",3,FALSE,6,3
"E02000864",3,TRUE,2,8
"E02000864",3,TRUE,3,6
"E02000864",3,TRUE,5,80
"E02000864",3,TRUE,6,23
"E02000864",4,FALSE,2,2
"E02000864",4,FALSE,3,2
"E02000864",4,FALSE,5,1
"E02000864",4,FALSE,6,2
"E02000864",4,TRUE,2,55
"E02000864",4,TRUE,3,114
"E02000864",4,TRUE,5,290
"E02000864",4,TRUE,6,92
"E02000864",5,FALSE,2,7
"E02000864",5,FALSE,3,5
"E02000864",5,FALSE,5,19
"E02000864",5,FALSE,6,24
"E02000864",5,TRUE,2,165
"E02000864",5,TRUE,3,342
"E02000864",5,TRUE,5,1539
"E02000864",5,TRUE,6,612
"E02000865",2,FALSE,2,0
"E02000865",2,FALSE,3,0
"E02000865",2,FALSE,5,0
"E02000865",2,FALSE,6,0
"E02000865",2,TRUE,2,2
"E02000865",2,TRUE,3,1
"E02000865",2,TRUE,5,12
"E02000865",2,TRUE,6,6
"E02000865",3,FALSE,2,0
"E02000865",3,FALSE,3,0
"E02000865",3,FALSE,5,0
"E02000865",3,FALSE,6,0
"E02000865",3,TRUE,2,1
"E02000865",3,TRUE,3,6
"E02000865",3,TRUE,5,32
"E02000865",3,TRUE,6,14
"E02000865",4,FALSE,2,2
"E02000865",4,FALSE,3,1
"E02000865",4,FALSE,5,1
"E02000865",4,FALSE,6,3
"E02000865",4,TRUE,2,25
"E02000865",4,TRUE,3,39
"E02000865",4,TRUE,5,144
"E02000865",4,TRUE,6,44
"E02000865",5,FALSE,2,8
"E02000865",5,FALSE,3,9
"E02000865",5,FALSE,5,23
"E02000865",5,FALSE,6,19
"E02000865",5,TRUE,2,130
"E02000865",5,TRUE,3,315
"E02000865",5,TRUE,5,1320
"E02000865",5,TRUE,6,606
"E02000866",2,FALSE,2,0
"E02000866",2,FALSE,3,0
"E02000866",2,FALSE,5,0
"E02000866",2,FALSE,6,0
"E02000866",2,TRUE,2,6
"E02000866",2,TRUE,3,9
"E02000866",2,TRUE,5,20
"E02000866",2,TRUE,6,18
"E02000866",3,FALSE,2,0
"E02000866",3,FALSE,3,0
"E02000866",3,FALSE,5,0
"E02000866",3,FALSE,6,1
"E02000866",3,TRUE,2,25
"E02000866",3,TRUE,3,25
"E02000866",3,TRUE,5,31
"E02000866",3,TRUE,6,50
"E02000866",4,FALSE,2,15
"E02000866",4,FALSE,3,1
"E02000866",4,FALSE,5,3
"E02000866",4,FALSE,6,1
"E02000866",4,TRUE,2,306
"E02000866",4,TRUE,3,418
"E02000866",4,TRUE,5,174
"E02000866",4,TRUE,6,272
"E02000866",5,FALSE,2,10
"E02000866",5,FALSE,3,11
"E02000866",5,FALSE,5,23
"E02000866",5,FALSE,6,32
"E02000866",5,TRUE,2,178
"E02000866",5,TRUE,3,356
"E02000866",5,TRUE,5,1129
"E02000866",5,TRUE,6,715
"E02000867",2,FALSE,2,0
"E02000867",2,FALSE,3,0
"E02000867",2,FALSE,5,0
"E02000867",2,FALSE,6,1
"E02000867",2,TRUE,2,2
"E02000867",2,TRUE,3,0
"E02000867",2,TRUE,5,21
"E02000867",2,TRUE,6,9
"E02000867",3,FALSE,2,0
"E02000867",3,FALSE,3,0
"E02000867",3,FALSE,5,0
"E02000867",3,FALSE,6,1
"E02000867",3,TRUE,2,12
"E02000867",3,TRUE,3,18
"E02000867",3,TRUE,5,50
"E02000867",3,TRUE,6,21
"E02000867",4,FALSE,2,2
"E02000867",4,FALSE,3,3
"E02000867",4,FALSE,5,3
"E02000867",4,FALSE,6,7
"E02000867",4,TRUE,2,91
"E02000867",4,TRUE,3,132
"E02000867",4,TRUE,5,184
"E02000867",4,TRUE,6,119
"E02000867",5,FALSE,2,15
"E02000867",5,FALSE,3,40
"E02000867",5,FALSE,5,13
"E02000867",5,FALSE,6,88
"E02000867",5,TRUE,2,180
"E02000867",5,TRUE,3,798
"E02000867",5,TRUE,5,1139
"E02000867",5,TRUE,6,1358
"E02000868",2,FALSE,2,0
"E02000868",2,FALSE,3,0
"E02000868",2,FALSE,5,0
"E02000868",2,FALSE,6,1
"E02000868",2,TRUE,2,1
"E02000868",2,TRUE,3,2
"E02000868",2,TRUE,5,13
"E02000868",2,TRUE,6,7
"E02000868",3,FALSE,2,0
"E02000868",3,FALSE,3,0
"E02000868",3,FALSE,5,0
"E02000868",3,FALSE,6,2
"E02000868",3,TRUE,2,2
"E02000868",3,TRUE,3,3
"E02000868",3,TRUE,5,25
"E02000868",3,TRUE,6,12
"E02000868",4,FALSE,2,0
"E02000868",4,FALSE,3,0
"E02000868",4,FALSE,5,0
"E02000868",4,FALSE,6,4
"E02000868",4,TRUE,2,10
"E02000868",4,TRUE,3,15
"E02000868",4,TRUE,5,60
"E02000868",4,TRUE,6,63
"E02000868",5,FALSE,2,5
"E02000868",5,FALSE,3,13
"E02000868",5,FALSE,5,10
"E02000868",5,FALSE,6,43
"E02000868",5,TRUE,2,227
"E02000868",5,TRUE,3,433
"E02000868",5,TRUE,5,833
"E02000868",5,TRUE,6,834
"E02000869",2,FALSE,2,0
"E02000869",2,FALSE,3,0
"E02000869",2,FALSE,5,0
"E02000869",2,FALSE,6,0
"E02000869",2,TRUE,2,3
"E02000869",2,TRUE,3,1
"E02000869",2,TRUE,5,5
"E02000869",2,TRUE,6,4
"E02000869",3,FALSE,2,0
"E02000869",3,FALSE,3,0
"E02000869",3,FALSE,5,0
"E02000869",3,FALSE,6,0
"E02000869",3,TRUE,2,3
"E02000869",3,TRUE,3,3
"E02000869",3,TRUE,5,10
"E02000869",3,TRUE,6,16
"E02000869",4,FALSE,2,2
"E02000869",4,FALSE,3,0
"E02000869",4,FALSE,5,1
"E02000869",4,FALSE,6,6
"E02000869",4,TRUE,2,114
"E02000869",4,TRUE,3,149
"E02000869",4,TRUE,5,40
"E02000869",4,TRUE,6,123
"E02000869",5,FALSE,2,5
"E02000869",5,FALSE,3,3
"E02000869",5,FALSE,5,24
"E02000869",5,FALSE,6,14
"E02000869",5,TRUE,2,135
"E02000869",5,TRUE,3,287
"E02000869",5,TRUE,5,1085
"E02000869",5,TRUE,6,452
"E02000870",2,FALSE,2,0
"E02000870",2,FALSE,3,0
"E02000870",2,FALSE,5,0
"E02000870",2,FALSE,6,0
"E02000870",2,TRUE,2,4
"E02000870",2,TRUE,3,2
"E02000870",2,TRUE,5,19
"E02000870",2,TRUE,6,6
"E02000870",3,FALSE,2,0
"E02000870",3,FALSE,3,0
"E02000870",3,FALSE,5,0
"E02000870",3,FALSE,6,0
"E02000870",3,TRUE,2,4
"E02000870",3,TRUE,3,6
"E02000870",3,TRUE,5,27
"E02000870",3,TRUE,6,14
"E02000870",4,FALSE,2,1
"E02000870",4,FALSE,3,0
"E02000870",4,FALSE,5,6
"E02000870",4,FALSE,6,9
"E02000870",4,TRUE,2,60
"E02000870",4,TRUE,3,78
"E02000870",4,TRUE,5,200
"E02000870",4,TRUE,6,54
"E02000870",5,FALSE,2,15
"E02000870",5,FALSE,3,15
"E02000870",5,FALSE,5,20
"E02000870",5,FALSE,6,37
"E02000870",5,TRUE,2,167
"E02000870",5,TRUE,3,376
"E02000870",5,TRUE,5,894
"E02000870",5,TRUE,6,546
"E02000871",2,FALSE,2,0
"E02000871",2,FALSE,3,0
"E02000871",2,FALSE,5,0
"E02000871",2,FALSE,6,0
"E02000871",2,TRUE,2,2
"E02000871",2,TRUE,3,0
"E02000871",2,TRUE,5,31
"E02000871",2,TRUE,6,8
"E02000871",3,FALSE,2,0
"E02000871",3,FALSE,3,0
"E02000871",3,FALSE,5,0
"E02000871",3,FALSE,6,0
"E02000871",3,TRUE,2,1
"E02000871",3,TRUE,3,9
"E02000871",3,TRUE,5,69
"E02000871",3,TRUE,6,16
"E02000871",4,FALSE,2,1
