"MSOA","Tenure","People","Bedrooms","Count"
"E02000864",2,1,1,29
"E02000864",2,1,2,36
"E02000864",2,1,3,33
"E02000864",2,1,4,3
"E02000864",2,2,1,12
"E02000864",2,2,2,45
"E02000864",2,2,3,30
"E02000864",2,2,4,5
"E02000864",2,3,1,0
"E02000864",2,3,2,10
"E02000864",2,3,3,18
"E02000864",2,3,4,2
"E02000864",2,4,1,0
"E02000864",2,4,2,7
"E02000864",2,4,3,8
"E02000864",2,4,4,4
"E02000864",3,1,1,63
"E02000864",3,1,2,86
"E02000864",3,1,3,19
"E02000864",3,1,4,2
"E02000864",3,2,1,27
"E02000864",3,2,2,89
"E02000864",3,2,3,42
"E02000864",3,2,4,4
"E02000864",3,3,1,6
"E02000864",3,3,2,31
"E02000864",3,3,3,29
"E02000864",3,3,4,6
"E02000864",3,4,1,3
"E02000864",3,4,2,20
"E02000864",3,4,3,33
"E02000864",3,4,4,13
"E02000864",5,1,1,476
"E02000864",5,1,2,236
"E02000864",5,1,3,73
"E02000864",5,1,4,11
"E02000864",5,2,1,118
"E02000864",5,2,2,257
"E02000864",5,2,3,98
"E02000864",5,2,4,6
"E02000864",5,3,1,21
"E02000864",5,3,2,129
"E02000864",5,3,3,86
"E02000864",5,3,4,17
"E02000864",5,4,1,13
"E02000864",5,4,2,151
"E02000864",5,4,3,210
"E02000864",5,4,4,83
"E02000864",6,1,1,87
"E02000864",6,1,2,44
"E02000864",6,1,3,10
"E02000864",6,1,4,2
"E02000864",6,2,1,97
"E02000864",6,2,2,212
"E02000864",6,2,3,24
"E02000864",6,2,4,4
"E02000864",6,3,1,14
"E02000864",6,3,2,47
"E02000864",6,3,3,60
"E02000864",6,3,4,9
"E02000864",6,4,1,2
"E02000864",6,4,2,34
"E02000864",6,4,3,54
"E02000864",6,4,4,68
"E02000865",2,1,1,27
"E02000865",2,1,2,25
"E02000865",2,1,3,31
"E02000865",2,1,4,6
"E02000865",2,2,1,7
"E02000865",2,2,2,21
"E02000865",2,2,3,13
"E02000865",2,2,4,2
"E02000865",2,3,1,1
"E02000865",2,3,2,4
"E02000865",2,3,3,7
"E02000865",2,3,4,3
"E02000865",2,4,1,0
"E02000865",2,4,2,4
"E02000865",2,4,3,7
"E02000865",2,4,4,10
"E02000865",3,1,1,60
"E02000865",3,1,2,48
"E02000865",3,1,3,24
"E02000865",3,1,4,7
"E02000865",3,2,1,21
"E02000865",3,2,2,55
"E02000865",3,2,3,23
"E02000865",3,2,4,6
"E02000865",3,3,1,2
"E02000865",3,3,2,18
"E02000865",3,3,3,34
"E02000865",3,3,4,8
"E02000865",3,4,1,0
"E02000865",3,4,2,20
"E02000865",3,4,3,20
"E02000865",3,4,4,25
"E02000865",5,1,1,372
"E02000865",5,1,2,174
"E02000865",5,1,3,41
"E02000865",5,1,4,20
"E02000865",5,2,1,86
"E02000865",5,2,2,158
"E02000865",5,2,3,54
"E02000865",5,2,4,12
"E02000865",5,3,1,10
"E02000865",5,3,2,96
"E02000865",5,3,3,56
"E02000865",5,3,4,13
"E02000865",5,4,1,10
"E02000865",5,4,2,183
"E02000865",5,4,3,134
"E02000865",5,4,4,113
"E02000865",6,1,1,94
"E02000865",6,1,2,29
"E02000865",6,1,3,18
"E02000865",6,1,4,8
"E02000865",6,2,1,111
"E02000865",6,2,2,137
"E02000865",6,2,3,34
"E02000865",6,2,4,11
"E02000865",6,3,1,6
"E02000865",6,3,2,43
"E02000865",6,3,3,66
"E02000865",6,3,4,8
"E02000865",6,4,1,6
"E02000865",6,4,2,22
"E02000865",6,4,3,39
"E02000865",6,4,4,60
"E02000866",2,1,1,36
"E02000866",2,1,2,72
"E02000866",2,1,3,97
"E02000866",2,1,4,15
"E02000866",2,2,1,12
"E02000866",2,2,2,47
"E02000866",2,2,3,104
"E02000866",2,2,4,24
"E02000866",2,3,1,1
"E02000866",2,3,2,14
"E02000866",2,3,3,39
"E02000866",2,3,4,12
