"MSOA","Tenure","People","Rooms","Count"
"E02000864",2,1,1,1
"E02000864",2,1,2,10
"E02000864",2,1,3,20
"E02000864",2,1,4,33
"E02000864",2,1,5,20
"E02000864",2,1,6,17
"E02000864",2,2,1,0
"E02000864",2,2,2,5
"E02000864",2,2,3,16
"E02000864",2,2,4,36
"E02000864",2,2,5,23
"E02000864",2,2,6,12
"E02000864",2,3,1,0
"E02000864",2,3,2,0
"E02000864",2,3,3,1
"E02000864",2,3,4,9
"E02000864",2,3,5,14
"E02000864",2,3,6,6
"E02000864",2,4,1,0
"E02000864",2,4,2,0
"E02000864",2,4,3,0
"E02000864",2,4,4,7
"E02000864",2,4,5,4
"E02000864",2,4,6,8
"E02000864",3,1,1,2
"E02000864",3,1,2,22
"E02000864",3,1,3,73
"E02000864",3,1,4,53
"E02000864",3,1,5,12
"E02000864",3,1,6,8
"E02000864",3,2,1,1
"E02000864",3,2,2,4
"E02000864",3,2,3,50
"E02000864",3,2,4,56
"E02000864",3,2,5,36
"E02000864",3,2,6,15
"E02000864",3,3,1,0
"E02000864",3,3,2,5
"E02000864",3,3,3,8
"E02000864",3,3,4,24
"E02000864",3,3,5,21
"E02000864",3,3,6,14
"E02000864",3,4,1,0
"E02000864",3,4,2,3
"E02000864",3,4,3,7
"E02000864",3,4,4,13
"E02000864",3,4,5,24
"E02000864",3,4,6,22
"E02000864",5,1,1,22
"E02000864",5,1,2,66
"E02000864",5,1,3,393
"E02000864",5,1,4,218
"E02000864",5,1,5,73
"E02000864",5,1,6,24
"E02000864",5,2,1,9
"E02000864",5,2,2,22
"E02000864",5,2,3,105
"E02000864",5,2,4,232
"E02000864",5,2,5,91
"E02000864",5,2,6,20
"E02000864",5,3,1,0
"E02000864",5,3,2,5
"E02000864",5,3,3,31
"E02000864",5,3,4,110
"E02000864",5,3,5,75
"E02000864",5,3,6,32
"E02000864",5,4,1,1
"E02000864",5,4,2,11
"E02000864",5,4,3,21
"E02000864",5,4,4,131
"E02000864",5,4,5,180
"E02000864",5,4,6,113
"E02000864",6,1,1,7
"E02000864",6,1,2,30
"E02000864",6,1,3,57
"E02000864",6,1,4,32
"E02000864",6,1,5,10
"E02000864",6,1,6,7
"E02000864",6,2,1,6
"E02000864",6,2,2,49
"E02000864",6,2,3,177
"E02000864",6,2,4,68
"E02000864",6,2,5,23
"E02000864",6,2,6,14
"E02000864",6,3,1,2
"E02000864",6,3,2,4
"E02000864",6,3,3,32
"E02000864",6,3,4,27
"E02000864",6,3,5,50
"E02000864",6,3,6,15
"E02000864",6,4,1,0
"E02000864",6,4,2,4
"E02000864",6,4,3,12
"E02000864",6,4,4,24
"E02000864",6,4,5,59
"E02000864",6,4,6,59
"E02000865",2,1,1,1
"E02000865",2,1,2,11
"E02000865",2,1,3,17
"E02000865",2,1,4,24
"E02000865",2,1,5,28
"E02000865",2,1,6,8
"E02000865",2,2,1,0
"E02000865",2,2,2,4
"E02000865",2,2,3,7
"E02000865",2,2,4,17
"E02000865",2,2,5,11
"E02000865",2,2,6,4
"E02000865",2,3,1,0
"E02000865",2,3,2,0
"E02000865",2,3,3,2
"E02000865",2,3,4,3
"E02000865",2,3,5,6
"E02000865",2,3,6,4
"E02000865",2,4,1,0
"E02000865",2,4,2,0
"E02000865",2,4,3,0
"E02000865",2,4,4,5
"E02000865",2,4,5,4
"E02000865",2,4,6,12
"E02000865",3,1,1,2
"E02000865",3,1,2,16
"E02000865",3,1,3,45
"E02000865",3,1,4,45
"E02000865",3,1,5,27
"E02000865",3,1,6,4
"E02000865",3,2,1,1
"E02000865",3,2,2,5
"E02000865",3,2,3,22
"E02000865",3,2,4,46
"E02000865",3,2,5,29
"E02000865",3,2,6,2
"E02000865",3,3,1,0
"E02000865",3,3,2,0
"E02000865",3,3,3,5
"E02000865",3,3,4,28
"E02000865",3,3,5,20
"E02000865",3,3,6,9
"E02000865",3,4,1,0
"E02000865",3,4,2,1
"E02000865",3,4,3,1
"E02000865",3,4,4,18
"E02000865",3,4,5,22
"E02000865",3,4,6,23
"E02000865",5,1,1,29
"E02000865",5,1,2,92
"E02000865",5,1,3,260
"E02000865",5,1,4,137
"E02000865",5,1,5,64
"E02000865",5,1,6,25
"E02000865",5,2,1,4
"E02000865",5,2,2,27
"E02000865",5,2,3,70
"E02000865",5,2,4,121
"E02000865",5,2,5,62
"E02000865",5,2,6,26
"E02000865",5,3,1,0
"E02000865",5,3,2,6
"E02000865",5,3,3,18
"E02000865",5,3,4,82
"E02000865",5,3,5,45
"E02000865",5,3,6,24
"E02000865",5,4,1,0
"E02000865",5,4,2,13
"E02000865",5,4,3,29
"E02000865",5,4,4,156
"E02000865",5,4,5,129
"E02000865",5,4,6,113
"E02000865",6,1,1,9
"E02000865",6,1,2,28
"E02000865",6,1,3,57
"E02000865",6,1,4,22
"E02000865",6,1,5,23
"E02000865",6,1,6,10
"E02000865",6,2,1,6
"E02000865",6,2,2,42
"E02000865",6,2,3,106
"E02000865",6,2,4,94
"E02000865",6,2,5,37
"E02000865",6,2,6,8
"E02000865",6,3,1,0
"E02000865",6,3,2,5
"E02000865",6,3,3,16
"E02000865",6,3,4,43
"E02000865",6,3,5,51
"E02000865",6,3,6,8
"E02000865",6,4,1,0
"E02000865",6,4,2,2
"E02000865",6,4,3,13
"E02000865",6,4,4,26
"E02000865",6,4,5,38
