"MSOA","Tenure","PPerBed","Composition","Count"
"E02000864",2,1,1,72
"E02000864",2,1,2,1
"E02000864",2,1,3,1
"E02000864",2,1,4,2
"E02000864",2,1,5,1
"E02000864",2,2,1,29
"E02000864",2,2,2,44
"E02000864",2,2,3,13
"E02000864",2,2,4,19
"E02000864",2,2,5,22
"E02000864",2,3,1,0
"E02000864",2,3,2,13
"E02000864",2,3,3,2
"E02000864",2,3,4,1
"E02000864",2,3,5,0
"E02000864",2,4,1,0
"E02000864",2,4,2,13
"E02000864",2,4,3,4
"E02000864",2,4,4,4
"E02000864",2,4,5,1
"E02000864",3,1,1,107
"E02000864",3,1,2,2
"E02000864",3,1,3,0
"E02000864",3,1,4,0
"E02000864",3,1,5,2
"E02000864",3,2,1,63
"E02000864",3,2,2,59
"E02000864",3,2,3,45
"E02000864",3,2,4,27
"E02000864",3,2,5,41
"E02000864",3,3,1,0
"E02000864",3,3,2,31
"E02000864",3,3,3,8
"E02000864",3,3,4,8
"E02000864",3,3,5,5
"E02000864",3,4,1,0
"E02000864",3,4,2,46
"E02000864",3,4,3,19
"E02000864",3,4,4,7
"E02000864",3,4,5,3
"E02000864",5,1,1,320
"E02000864",5,1,2,3
"E02000864",5,1,3,0
"E02000864",5,1,4,3
"E02000864",5,1,5,0
"E02000864",5,2,1,476
"E02000864",5,2,2,131
"E02000864",5,2,3,25
"E02000864",5,2,4,289
"E02000864",5,2,5,35
"E02000864",5,3,1,0
"E02000864",5,3,2,111
"E02000864",5,3,3,27
"E02000864",5,3,4,101
"E02000864",5,3,5,8
"E02000864",5,4,1,0
"E02000864",5,4,2,270
"E02000864",5,4,3,53
"E02000864",5,4,4,111
"E02000864",5,4,5,22
"E02000864",6,1,1,56
"E02000864",6,1,2,0
"E02000864",6,1,3,2
"E02000864",6,1,4,0
"E02000864",6,1,5,4
"E02000864",6,2,1,87
"E02000864",6,2,2,43
"E02000864",6,2,3,58
"E02000864",6,2,4,36
"E02000864",6,2,5,216
"E02000864",6,3,1,0
"E02000864",6,3,2,16
"E02000864",6,3,3,23
"E02000864",6,3,4,16
"E02000864",6,3,5,39
"E02000864",6,4,1,0
"E02000864",6,4,2,50
"E02000864",6,4,3,71
"E02000864",6,4,4,16
"E02000864",6,4,5,35
"E02000865",2,1,1,62
"E02000865",2,1,2,0
"E02000865",2,1,3,0
"E02000865",2,1,4,0
"E02000865",2,1,5,2
"E02000865",2,2,1,27
"E02000865",2,2,2,21
"E02000865",2,2,3,5
"E02000865",2,2,4,12
"E02000865",2,2,5,9
"E02000865",2,3,1,0
"E02000865",2,3,2,11
"E02000865",2,3,3,1
"E02000865",2,3,4,0
"E02000865",2,3,5,1
"E02000865",2,4,1,0
"E02000865",2,4,2,12
"E02000865",2,4,3,3
"E02000865",2,4,4,1
"E02000865",2,4,5,1
"E02000865",3,1,1,79
"E02000865",3,1,2,3
"E02000865",3,1,3,3
"E02000865",3,1,4,0
"E02000865",3,1,5,0
"E02000865",3,2,1,60
"E02000865",3,2,2,42
"E02000865",3,2,3,30
"E02000865",3,2,4,19
"E02000865",3,2,5,42
"E02000865",3,3,1,0
"E02000865",3,3,2,25
"E02000865",3,3,3,7
"E02000865",3,3,4,6
"E02000865",3,3,5,1
"E02000865",3,4,1,0
"E02000865",3,4,2,32
"E02000865",3,4,3,11
"E02000865",3,4,4,5
"E02000865",3,4,5,6
"E02000865",5,1,1,235
"E02000865",5,1,2,4
"E02000865",5,1,3,1
"E02000865",5,1,4,2
"E02000865",5,1,5,5
"E02000865",5,2,1,372
"E02000865",5,2,2,87
"E02000865",5,2,3,17
"E02000865",5,2,4,171
"E02000865",5,2,5,31
"E02000865",5,3,1,0
"E02000865",5,3,2,98
"E02000865",5,3,3,22
"E02000865",5,3,4,73
"E02000865",5,3,5,5
