"MSOA","Unoccupied","Count"
"E02000864",FALSE,3468
"E02000864",TRUE,62
"E02000865",FALSE,2763
"E02000865",TRUE,36
"E02000866",FALSE,3829
"E02000866",TRUE,82
"E02000867",FALSE,4307
"E02000867",TRUE,280
"E02000868",FALSE,2618
"E02000868",TRUE,33
"E02000869",FALSE,2485
"E02000869",TRUE,59
"E02000870",FALSE,2560
"E02000870",TRUE,32
"E02000871",FALSE,3107
"E02000871",TRUE,66
"E02000872",FALSE,3088
"E02000872",TRUE,64
"E02000873",FALSE,2792
"E02000873",TRUE,47
"E02000874",FALSE,2494
"E02000874",TRUE,90
"E02000875",FALSE,3437
"E02000875",TRUE,85
"E02000876",FALSE,2750
"E02000876",TRUE,83
"E02000877",FALSE,3252
"E02000877",TRUE,166
"E02000878",FALSE,3900
"E02000878",TRUE,223
"E02000879",FALSE,2855
"E02000879",TRUE,55
"E02000880",FALSE,2090
"E02000880",TRUE,54
"E02000881",FALSE,2379
"E02000881",TRUE,108
"E02000882",FALSE,2884
"E02000882",TRUE,49
"E02000883",FALSE,2880
"E02000883",TRUE,55
"E02000884",FALSE,3707
"E02000884",TRUE,227
"E02000885",FALSE,2509
"E02000885",TRUE,65
"E02000886",FALSE,3185
"E02000886",TRUE,196
"E02000887",FALSE,3165
"E02000887",TRUE,53
"E02000888",FALSE,3306
"E02000888",TRUE,195
"E02000889",FALSE,2879
"E02000889",TRUE,138
"E02000890",FALSE,3093
"E02000890",TRUE,327
"E02000891",FALSE,5742
"E02000891",TRUE,615
"E02000893",FALSE,2912
"E02000893",TRUE,120
"E02000894",FALSE,4510
"E02000894",TRUE,243
"E02006853",FALSE,3320
"E02006853",TRUE,541
"E02006854",FALSE,2991
"E02006854",TRUE,430
