Sex,Eth,Age,Rate
M,WBI,0-4,0.000642718
M,WHO,0-4,0.000640235
M,MIX,0-4,0.000630216
M,IND,0-4,0.000880902
M,PAK,0-4,0.000828462
M,BAN,0-4,0.00062253
M,CHI,0-4,0.000695344
M,OAS,0-4,0.000657557
M,BLA,0-4,0.000562196
M,BLC,0-4,0.000540695
M,OBL,0-4,0.000571918
M,OTH,0-4,0.000512232
F,WBI,0-4,0.000489616
F,WHO,0-4,0.000539693
F,MIX,0-4,0.0005329
F,IND,0-4,0.000637365
F,PAK,0-4,0.000580123
F,BAN,0-4,0.000516983
F,CHI,0-4,0.000768607
F,OAS,0-4,0.000373716
F,BLA,0-4,0.000450917
F,BLC,0-4,0.000543217
F,OBL,0-4,0.000459861
F,OTH,0-4,0.000470987
M,WBI,5-7,0.000305085
M,WHO,5-7,0.000307603
M,MIX,5-7,0.000301114
M,IND,5-7,0.000306626
M,PAK,5-7,0.000297757
M,BAN,5-7,0.000339145
M,CHI,5-7,0.000292736
M,OAS,5-7,0.000309678
M,BLA,5-7,0.000282796
M,BLC,5-7,0.0002656
M,OBL,5-7,0.000278821
M,OTH,5-7,0.000315259
F,WBI,5-7,5.03713E-05
F,WHO,5-7,4.94854E-05
F,MIX,5-7,4.825E-05
F,IND,5-7,4.71953E-05
F,PAK,5-7,4.71894E-05
F,BAN,5-7,4.30516E-05
F,CHI,5-7,4.75797E-05
F,OAS,5-7,4.681E-05
F,BLA,5-7,4.79251E-05
F,BLC,5-7,4.55172E-05
F,OBL,5-7,4.6973E-05
F,OTH,5-7,4.73307E-05
M,WBI,8-9,0.000181691
M,WHO,8-9,0.000183474
M,MIX,8-9,0.000182417
M,IND,8-9,0.000176251
M,PAK,8-9,0.00017751
M,BAN,8-9,0.000228245
M,CHI,8-9,0.000176816
M,OAS,8-9,0.000174859
M,BLA,8-9,0.000174727
M,BLC,8-9,0.000166867
M,OBL,8-9,0.000170275
M,OTH,8-9,0.000182522
F,WBI,8-9,4.63651E-05
F,WHO,8-9,4.80259E-05
F,MIX,8-9,4.66455E-05
F,IND,8-9,5.02908E-05
F,PAK,8-9,4.90609E-05
F,BAN,8-9,3.89725E-05
F,CHI,8-9,4.77075E-05
F,OAS,8-9,4.62748E-05
F,BLA,8-9,4.852E-05
F,BLC,8-9,4.48229E-05
F,OBL,8-9,4.50034E-05
F,OTH,8-9,4.29452E-05
M,WBI,10-14,0.00015995
M,WHO,10-14,0.000158159
M,MIX,10-14,0.000150367
M,IND,10-14,0.000147752
M,PAK,10-14,0.000140262
M,BAN,10-14,0.000153318
M,CHI,10-14,0.000155158
M,OAS,10-14,0.000148679
M,BLA,10-14,0.00015118
M,BLC,10-14,0.000148554
M,OBL,10-14,0.00014963
M,OTH,10-14,0.000154106
F,WBI,10-14,6.5541E-05
F,WHO,10-14,6.28263E-05
F,MIX,10-14,6.69485E-05
F,IND,10-14,6.47139E-05
F,PAK,10-14,6.14545E-05
F,BAN,10-14,6.35011E-05
F,CHI,10-14,6.25366E-05
F,OAS,10-14,6.81051E-05
F,BLA,10-14,6.82743E-05
F,BLC,10-14,6.84724E-05
F,OBL,10-14,6.81736E-05
F,OTH,10-14,6.50077E-05
M,WBI,15,0.000238261
M,WHO,15,0.000225433
M,MIX,15,0.00021345
M,IND,15,0.000189804
M,PAK,15,0.000234664
M,BAN,15,0.000224814
M,CHI,15,0.00022172
M,OAS,15,0.000202823
M,BLA,15,0.000219067
M,BLC,15,0.000212582
M,OBL,15,0.000206984
M,OTH,15,0.000222902
F,WBI,15,0.000181137
F,WHO,15,0.000179664
F,MIX,15,0.000176502
F,IND,15,0.000161108
F,PAK,15,0.000151205
F,BAN,15,0.000190306
F,CHI,15,0.000173487
F,OAS,15,0.000179229
F,BLA,15,0.000179183
F,BLC,15,0.000176379
F,OBL,15,0.000172472
F,OTH,15,0.000182247
M,WBI,16-17,0.000448936
M,WHO,16-17,0.000437958
M,MIX,16-17,0.000406717
M,IND,16-17,0.00035825
M,PAK,16-17,0.000392234
M,BAN,16-17,0.000417142
M,CHI,16-17,0.000427079
M,OAS,16-17,0.000386287
M,BLA,16-17,0.000383193
M,BLC,16-17,0.000405952
M,OBL,16-17,0.000371903
M,OTH,16-17,0.000411355
F,WBI,16-17,0.000252341
F,WHO,16-17,0.000235909
F,MIX,16-17,0.000230876
F,IND,16-17,0.000202154
F,PAK,16-17,0.000203327
F,BAN,16-17,0.000219427
F,CHI,16-17,0.0002299
F,OAS,16-17,0.000218554
F,BLA,16-17,0.000217569
F,BLC,16-17,0.000207261
F,OBL,16-17,0.000206816
F,OTH,16-17,0.00020938
M,WBI,18-19,0.000606438
M,WHO,18-19,0.000533086
M,MIX,18-19,0.000512134
M,IND,18-19,0.000438905
M,PAK,18-19,0.000512577
M,BAN,18-19,0.000542168
