"MSOA","Sex","Age","Ethnicity","Persons"
"E02000864","M","0-4","WBI",95
"E02000864","M","0-4","WHO",8
"E02000864","M","0-4","MIX",30
"E02000864","M","0-4","IND",2
"E02000864","M","0-4","PAK",2
"E02000864","M","0-4","BAN",129
"E02000864","M","0-4","CHI",1
"E02000864","M","0-4","OAS",2
"E02000864","M","0-4","BLA",19
"E02000864","M","0-4","BLC",16
"E02000864","M","0-4","OBL",19
"E02000864","M","0-4","OTH",5
"E02000864","M","5-7","WBI",29
"E02000864","M","5-7","WHO",7
"E02000864","M","5-7","MIX",12
"E02000864","M","5-7","IND",2
"E02000864","M","5-7","PAK",1
"E02000864","M","5-7","BAN",80
"E02000864","M","5-7","OAS",1
"E02000864","M","5-7","BLA",4
"E02000864","M","5-7","BLC",3
"E02000864","M","5-7","OBL",4
"E02000864","M","5-7","OTH",5
"E02000864","M","8-9","WBI",17
"E02000864","M","8-9","WHO",4
"E02000864","M","8-9","MIX",8
"E02000864","M","8-9","IND",2
"E02000864","M","8-9","BAN",43
"E02000864","M","8-9","OAS",3
"E02000864","M","8-9","BLA",11
"E02000864","M","8-9","BLC",2
"E02000864","M","8-9","OBL",1
"E02000864","M","8-9","OTH",3
"E02000864","M","10-14","WBI",71
"E02000864","M","10-14","WHO",4
"E02000864","M","10-14","MIX",24
"E02000864","M","10-14","IND",4
"E02000864","M","10-14","BAN",93
"E02000864","M","10-14","CHI",1
"E02000864","M","10-14","OAS",2
"E02000864","M","10-14","BLA",15
"E02000864","M","10-14","BLC",8
"E02000864","M","10-14","OBL",8
"E02000864","M","10-14","OTH",7
"E02000864","M","15","WBI",18
"E02000864","M","15","WHO",3
"E02000864","M","15","MIX",3
"E02000864","M","15","BAN",14
"E02000864","M","15","CHI",1
"E02000864","M","15","BLA",4
"E02000864","M","15","BLC",6
"E02000864","M","15","OTH",1
"E02000864","M","16-17","WBI",30
"E02000864","M","16-17","MIX",22
"E02000864","M","16-17","BAN",46
"E02000864","M","16-17","CHI",1
"E02000864","M","16-17","OAS",3
"E02000864","M","16-17","BLA",7
"E02000864","M","16-17","BLC",3
"E02000864","M","16-17","OBL",4
"E02000864","M","16-17","OTH",1
"E02000864","M","18-19","WBI",38
"E02000864","M","18-19","WHO",4
"E02000864","M","18-19","MIX",7
"E02000864","M","18-19","BAN",25
"E02000864","M","18-19","CHI",2
"E02000864","M","18-19","OAS",1
"E02000864","M","18-19","BLA",4
"E02000864","M","18-19","BLC",7
"E02000864","M","18-19","OBL",8
"E02000864","M","18-19","OTH",2
"E02000864","M","20-24","WBI",179
"E02000864","M","20-24","WHO",38
"E02000864","M","20-24","MIX",21
"E02000864","M","20-24","IND",2
"E02000864","M","20-24","PAK",1
"E02000864","M","20-24","BAN",70
"E02000864","M","20-24","CHI",5
"E02000864","M","20-24","OAS",7
"E02000864","M","20-24","BLA",29
"E02000864","M","20-24","BLC",11
"E02000864","M","20-24","OBL",13
"E02000864","M","20-24","OTH",7
"E02000864","M","25-29","WBI",236
"E02000864","M","25-29","WHO",85
"E02000864","M","25-29","MIX",17
"E02000864","M","25-29","IND",9
"E02000864","M","25-29","PAK",4
"E02000864","M","25-29","BAN",67
"E02000864","M","25-29","CHI",8
"E02000864","M","25-29","OAS",3
"E02000864","M","25-29","BLA",18
"E02000864","M","25-29","BLC",12
"E02000864","M","25-29","OBL",4
"E02000864","M","25-29","OTH",9
"E02000864","M","30-34","WBI",233
"E02000864","M","30-34","WHO",76
"E02000864","M","30-34","MIX",12
"E02000864","M","30-34","IND",7
"E02000864","M","30-34","PAK",5
"E02000864","M","30-34","BAN",95
"E02000864","M","30-34","CHI",6
"E02000864","M","30-34","OAS",8
"E02000864","M","30-34","BLA",18
"E02000864","M","30-34","BLC",20
"E02000864","M","30-34","OBL",5
"E02000864","M","30-34","OTH",14
"E02000864","M","35-39","WBI",124
"E02000864","M","35-39","WHO",44
"E02000864","M","35-39","MIX",10
"E02000864","M","35-39","IND",5
"E02000864","M","35-39","PAK",2
"E02000864","M","35-39","BAN",73
"E02000864","M","35-39","CHI",5
"E02000864","M","35-39","OAS",5
"E02000864","M","35-39","BLA",7
"E02000864","M","35-39","BLC",7
"E02000864","M","35-39","OBL",5
"E02000864","M","35-39","OTH",8
"E02000864","M","40-44","WBI",115
"E02000864","M","40-44","WHO",19
"E02000864","M","40-44","MIX",5
"E02000864","M","40-44","IND",2
"E02000864","M","40-44","PAK",1
"E02000864","M","40-44","BAN",61
"E02000864","M","40-44","CHI",4
"E02000864","M","40-44","OAS",3
"E02000864","M","40-44","BLA",11
"E02000864","M","40-44","BLC",21
"E02000864","M","40-44","OBL",5
"E02000864","M","40-44","OTH",7
"E02000864","M","45-49","WBI",103
"E02000864","M","45-49","WHO",16
"E02000864","M","45-49","MIX",8
"E02000864","M","45-49","IND",1
"E02000864","M","45-49","PAK",1
"E02000864","M","45-49","BAN",41
"E02000864","M","45-49","CHI",2
"E02000864","M","45-49","OAS",4
"E02000864","M","45-49","BLA",12
